Region,Individual,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020
Western Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,,,1,,,,,,
Western Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,,1,,,,,,2,,
Western Sydney,Employee,"2,743","3,250","3,264","2,972","3,369","2,790","2,525","3,060","3,674","2,737","3,521","3,224","2,744","3,537","2,863","3,027","3,199","2,911","2,380","2,944","3,180","3,748","3,560","3,416","3,377","3,381","3,036","3,293","3,224","3,895","2,863","3,051","3,800","3,399","4,403","3,697","4,143","4,143","4,041","4,685","5,076","3,453","3,320","3,621","3,682","2,169","2,503","4,445","3,162","2,755","3,021"
Western Sydney,Free Travel,98,129,132,131,137,108,84,118,140,112,146,119,107,114,93,89,85,80,75,95,107,143,118,107,124,135,92,141,133,196,97,120,139,132,242,134,158,163,162,208,177,121,123,123,94,7,23,83,42,36,38
Western Sydney,School Student,"7,556","17,868","13,163","11,856","15,602","6,410",974,"15,614","19,568","6,739","20,284","17,560","7,908","20,696","12,830","13,824","17,427","7,838","1,159","19,036","20,946","11,035","22,838","20,504","10,990","23,924","20,349","12,855","19,449","12,586","1,414","20,129","25,279","12,892","26,502","23,015","14,343","26,309","24,380","17,571","27,988","11,559","2,479","23,223","20,051",48,"7,727","31,888","12,942","21,252","20,037"
Western Sydney,Senior/Pensioner,"47,463","53,395","52,382","53,139","54,441","51,193","47,426","47,763","54,726","49,655","54,834","52,179","48,575","54,916","50,409","55,307","54,586","54,096","46,803","50,868","55,850","63,756","56,799","56,519","57,335","61,663","58,067","60,862","56,491","69,332","56,101","52,224","65,672","60,043","61,634","62,358","68,598","63,570","65,176","75,960","76,607","62,749","60,302","53,940","47,211","17,820","27,059","52,103","41,965","35,954","40,959"
Western Sydney,Sgl Trip Rail Adult,324,"2,261","2,136","2,151","2,196","2,752","2,169","1,856","2,127","2,019","1,751","1,962","1,982","1,991","2,058","2,238","2,103","2,542","1,653","1,596","1,928","2,060","1,612","1,748","1,325","1,490","1,422","1,557","1,508","2,305","1,342","1,102","1,471","1,352","1,729","1,281","1,200","1,009","1,033","1,183","1,246","1,198","1,000",819,603,109,212,434,341,201,256
Western Sydney,Sgl Trip Rail Child/Youth,84,450,581,522,399,770,719,344,432,601,335,459,710,487,559,572,437,718,528,330,384,705,313,402,443,317,306,337,253,622,417,183,276,461,357,364,432,258,259,377,318,465,480,253,204,66,145,335,285,160,205
North Western Sydney,Adult,"31,864","40,123","35,855","33,920","36,327","30,726","28,169","31,519","39,298","29,914","38,490","35,694","35,593","39,899","36,152","36,359","38,643","31,821","27,240","31,700","36,609","31,084","37,686","33,170","34,899","38,899","36,493","37,446","38,178","30,398","30,095","32,674","39,624","34,503","40,683","35,826","37,837","38,352","36,406","35,945","33,761","28,312","2,261",,,,,,,,
North Western Sydney,Child/Youth,790,"1,602",886,976,800,"1,038","1,043",947,"1,149","1,000",612,914,"1,260","1,311","1,002","1,014",927,"1,315","1,292",941,"1,202","1,177",780,718,"1,139",980,944,"1,149",928,"1,236","1,451",964,"1,113","1,283","1,001","1,131","1,278",964,931,"1,268",831,"1,221",281,,,,,,,,
North Western Sydney,Concession,"2,667","5,146","3,481","3,184","2,210","1,508","1,267","1,895","4,632","2,969","4,216","2,690","2,284","4,878","3,288","3,331","2,449","1,687","1,227","1,879","4,367","3,161","4,068","2,486","2,179","4,291","3,289","3,616","2,537","1,652","1,619","2,254","4,605","3,842","3,540","2,821","2,677","3,732","3,183","3,247","2,390","1,537",111,,,,,,,,
North Western Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,631,805,808,"1,045",829,"1,020","1,100",968,"1,123","1,572","2,629","2,990","2,955",310,,,,,,,,
North Western Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
North Western Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,3,,1,,3,1,,,,1,,,,,,,,,
North Western Sydney,Employee,175,229,213,244,276,179,210,221,304,224,255,252,189,260,264,324,"1,195","1,186",848,"1,265","1,475","1,202","1,579","1,280","1,258","1,749","1,526","1,670","1,703","1,265","1,296","1,635","1,694","1,343","1,544","1,459","1,704","1,684","1,567","1,713","1,583","1,150",74,,,,,,,,
North Western Sydney,Free Travel,12,12,24,22,20,19,21,28,45,34,34,26,47,31,24,28,31,13,4,18,27,14,12,2,9,19,17,15,20,18,16,16,33,27,34,29,17,19,14,20,17,14,11,,,,,,,,
North Western Sydney,School Student,366,816,557,579,903,371,49,913,"1,144",351,"1,135","1,058",543,"1,226",853,935,"1,270",551,115,"1,159","1,383",517,"1,383","1,150",669,"1,493","1,236",897,"1,443",819,119,"1,551","1,809",940,"2,136","1,878","1,117","2,137","1,840","1,245","1,841","1,011",,,,,,,,,
North Western Sydney,Senior/Pensioner,"3,095","3,729","3,831","3,566","3,758","3,596","2,857","2,958","3,766","3,122","3,270","3,260","3,430","3,366","3,465","3,077","3,660","3,512","2,722","3,483","4,286","3,355","4,019","3,623","3,996","4,401","4,285","3,969","4,437","3,484","3,417","3,572","4,258","3,985","4,527","4,227","4,061","4,088","4,314","4,421","4,160","4,157",604,,,,,,,,
North Western Sydney,Sgl Trip Rail Adult,10,77,63,45,75,55,50,37,106,45,44,49,77,88,55,37,78,90,24,72,92,26,30,61,50,71,98,32,99,63,56,37,67,41,91,61,39,41,23,23,29,35,8,,,,,,,,
North Western Sydney,Sgl Trip Rail Child/Youth,2,4,7,3,3,5,7,3,5,9,4,9,12,9,4,8,5,32,12,8,5,10,6,9,11,14,15,8,18,9,12,5,9,8,16,10,12,2,3,4,1,5,7,,,,,,,,
Western Sydney,Adult,"124,590","124,612","102,987","116,328","104,223","99,922","88,806","104,382","131,435","139,793","137,642","122,355","145,031","104,418","106,662","119,772","124,790","109,677","87,544","98,841","114,620","99,771","117,970","114,049","142,274","135,406","114,671","121,705","123,807","98,591","125,483","117,609","124,265","104,042","116,123","119,946","130,082","120,692","108,395","100,469","105,742","80,962","105,628","78,861","50,536","9,344","11,546","21,971","24,596","21,371","22,343"
Western Sydney,Child/Youth,"7,793","5,922","5,995","6,631","11,449","7,369","6,091","3,762","6,611","15,299","5,618","6,220","11,150","4,517","6,599","5,611","10,590","6,458","5,593","5,304","7,689","6,479","5,075","5,014","9,716","6,536","5,592","6,527","9,517","5,121","7,047","5,516","4,884","8,429","5,063","6,586","7,788","4,928","6,927","4,798","8,010","4,682","6,957","3,778","1,744",58,205,417,928,686,785
Western Sydney,Concession,"9,387","11,671","8,768","9,347","5,890","7,274","4,661","5,629","12,672","11,059","12,533","8,258","9,020","9,464","8,579","9,078","7,946","7,120","4,440","5,453","10,747","7,842","9,409","7,103","8,469","9,766","7,186","7,395","7,050","5,333","6,232","6,519","10,040","7,662","9,166","8,062","6,828","8,631","7,470","6,246","6,871","5,444","4,846","4,675","3,251",138,332,754,"1,252","1,373","1,478"
Western Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,"1,884","3,395","3,556","4,166","3,257","4,183","4,155","4,152","6,096","5,903","9,278","14,120","10,659","17,152","14,158","7,350","1,152","1,675","3,119","4,633","4,250","4,867"
Western Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Western Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,2,,1,,2,1,1,3,1,3,,,,4,1,3,4,3,5,1,1,,3,,1
Western Sydney,Employee,437,570,484,575,431,430,360,469,519,634,493,525,612,426,345,469,423,378,288,380,542,372,414,370,471,453,375,489,441,332,570,493,495,651,622,518,575,828,773,837,822,666,947,731,599,208,192,148,367,298,310
