Region,Individual,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020
Northern Sydney,Concession,"7,079","7,907","6,978","7,134","7,426","6,628","2,113","8,271","10,625","8,475","8,554","9,576","8,447","8,705","7,963","8,232","8,971","8,321",645,"7,456","9,586","7,700","8,275","9,477","8,469","9,068","8,646","7,856","8,510","7,135","4,159","7,570","9,775","7,178","7,076","9,229","8,684","8,552","6,864","8,148","7,917","7,124","6,096","6,880","4,970",484,869,"1,896","2,961","2,678","3,022"
Northern Sydney,CTP,,,,,,,,,,,,,,,,,,,,,441,703,571,669,666,753,690,807,986,"2,833","1,898","3,251","4,134","3,633","4,070","4,847","4,726","6,194","6,718","13,974","17,427","18,565","19,071","19,432","12,527","2,386","4,175","7,760","10,345","8,850","9,877"
Northern Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,,,,
Northern Sydney,Day Pass without SAF,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,1,1,4,,3,1,2,,5,1,11,7,12,2,1,6,4,1,3,1,3,,4
Northern Sydney,Employee,1,,,1,,,,,,,,,,,,,,1,,,,,,,11,363,423,474,463,476,293,481,513,388,408,488,411,506,385,500,571,617,442,384,336,129,124,196,287,299,325
Northern Sydney,Free Travel,225,284,265,296,263,231,75,235,329,303,332,361,244,294,276,327,341,294,34,276,306,291,332,289,269,300,261,305,301,319,170,288,249,267,310,259,297,318,245,312,310,297,261,262,139,11,46,41,75,80,67
Northern Sydney,School Student,15,66,59,52,90,53,10,137,200,69,224,209,94,244,164,143,205,89,18,225,253,98,333,251,105,192,226,122,257,131,21,303,328,172,339,316,182,334,382,239,429,309,103,"1,024",827,6,368,852,621,"1,165","1,137"
Northern Sydney,Senior/Pensioner,"44,498","47,023","47,195","50,685","46,500","40,614","13,142","43,305","54,857","49,267","50,979","52,976","47,035","43,554","45,692","50,471","51,559","51,980","5,018","47,424","50,168","52,028","49,640","50,257","46,729","47,501","47,788","45,988","47,122","49,083","29,078","54,206","50,719","45,302","46,922","50,455","50,197","50,364","43,808","52,621","50,598","49,852","47,429","43,670","22,198","2,631","4,771","10,906","14,041","12,023","14,395"
Northern Sydney,Sgl Trip LR Adult,284,504,632,560,471,478,231,521,710,586,605,606,887,878,888,"1,047","1,188","1,180",91,"1,051",926,762,727,743,655,730,663,676,740,648,369,501,533,507,465,442,542,453,362,400,441,446,483,393,187,17,32,43,60,36,54
Northern Sydney,Sgl Trip LR Child/Youth,61,72,78,84,39,96,55,73,78,133,57,123,205,155,134,150,115,220,12,113,130,150,95,138,144,97,72,113,76,135,110,67,89,179,56,86,175,112,60,105,101,121,233,74,28,3,12,28,44,13,25
Northern Sydney,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,263","103,725","86,702","57,462","11,634","23,041","35,682","46,562","47,244","50,569"
Northern Sydney,Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,768","14,896","4,199","1,803",144,596,"1,548","4,059","1,712","2,529"
Northern Sydney,Concession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,889","3,100","3,924","2,820",294,816,"1,885","2,846","3,137","3,837"
Northern Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,031","23,740","23,055","15,821","3,160","7,215","13,415","18,806","18,819","21,432"
Northern Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,1,1,2,1
Northern Sydney,Employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,244,252,196,54,77,114,206,245,312
Northern Sydney,Free Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,161,150,105,7,38,105,97,90,119
Northern Sydney,School Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,57,470,383,8,168,424,291,507,589
Northern Sydney,Senior/Pensioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,367","20,380","15,212","9,624","2,669","5,035","8,373","10,104","9,679","11,194"
Northern Sydney,Sgl Trip LR Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713,"1,400",841,619,8,24,61,84,33,44
Northern Sydney,Sgl Trip LR Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,482,62,50,1,14,24,52,16,32
Northern Sydney,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,545","142,948","115,933","61,440","5,515","14,896","25,281","32,493","29,928","29,878"
